date,county,GEOID,T_day,T_night,T_avg
2022-01-01,Northampton,51131,2.051243001891242,6.179514961174272,4.115378981532757
2022-01-01,Poquoson,51735,5.068987313763124,1.1509758076412764,3.1099815607022
2022-01-01,Chesapeake,51550,5.091371720202508,-0.03888886172100146,2.5262414292407533
2022-01-01,Newport News,51700,4.038344387557244,0.14860322987548708,2.0934738087163653
2022-01-01,Portsmouth,51740,5.391436337187076,0.4111693680903643,2.9013028526387203
2022-01-01,Hampton,51650,5.204645270673674,0.2053646639463713,2.7050049673100225
2022-01-01,Virginia Beach,51810,6.264603487687986,1.0143686926746056,3.639486090181296
2022-01-01,Norfolk,51710,5.385446208955254,1.0489704037848238,3.217208306370039
2022-01-01,Williamsburg,51830,6.764155844155872,-1.3167426451099664,2.723706599522953
2022-01-01,Hopewell,51670,4.97933994940653,1.1625993383927125,3.070969643899621
2022-01-08,Northampton,51131,4.983907335425694,-1.922735878076035,1.5305857286748292
2022-01-08,Poquoson,51735,5.585862040075429,-0.4188548948858371,2.583503572594796
2022-01-08,Chesapeake,51550,6.437398217976114,-1.4378064668600723,2.4997958755580205
2022-01-08,Newport News,51700,6.2748321932095745,-1.0517615637845577,2.6115353147125084
2022-01-08,Portsmouth,51740,7.0973749560766635,-0.9680984448850536,3.064638255595805
2022-01-08,Hampton,51650,6.769157436672654,-1.0507771787960167,2.8591901289383186
2022-01-08,Virginia Beach,51810,7.204208569995495,-0.44720099498240473,3.378503787506545
2022-01-08,Norfolk,51710,7.688686236138323,-0.0596956395245413,3.8144952983068903
2022-01-08,Williamsburg,51830,5.234689636893748,-1.7171695821185298,1.7587600273876092
2022-01-08,Hopewell,51670,6.011161354349124,-1.814472854640952,2.098344249854086
2022-01-15,Northampton,51131,5.925344991487111,-0.07752237865551338,2.923911306415799
2022-01-15,Poquoson,51735,6.5925890758454075,0.4947044526297672,3.5436467642375873
2022-01-15,Chesapeake,51550,7.902902686589861,-0.22113546112256433,3.840883612733648
2022-01-15,Newport News,51700,7.360822239343531,-0.7916114959777752,3.2846053716828782
2022-01-15,Portsmouth,51740,8.25355054639796,-0.5654691669136989,3.84404068974213
2022-01-15,Hampton,51650,7.969249461774566,-0.6197758920800422,3.6747367848472616
2022-01-15,Virginia Beach,51810,7.533009919835645,-0.08779241288099442,3.722608753477325
2022-01-15,Norfolk,51710,8.101109355839315,-0.01683245681590251,4.042138449511706
2022-01-15,Williamsburg,51830,7.757535117943308,-2.089350428483054,2.834092344730127
2022-01-15,Hopewell,51670,8.699521307647432,-1.388767697995691,3.6553768048258704
2022-01-22,Northampton,51131,1.8849926229692409,-1.8267017270673904,0.02914544795092522
2022-01-22,Poquoson,51735,3.034237938979292,-0.06500504007471428,1.4846164494522889
2022-01-22,Chesapeake,51550,2.439122640565568,-2.027719708823223,0.20570146587117244
2022-01-22,Newport News,51700,3.6864678714155823,-1.2136101202528022,1.23642887558139
2022-01-22,Portsmouth,51740,3.115377917957271,-1.2087471859182326,0.9533153660195192
2022-01-22,Hampton,51650,4.017946030210209,-1.2627925121768435,1.3775767590166828
2022-01-22,Virginia Beach,51810,2.4452418438947885,-1.8697508621871857,0.2877454908538014
2022-01-22,Norfolk,51710,4.373197561433155,-0.994006521037312,1.6895955201979216
2022-01-22,Williamsburg,51830,3.231188709249965,-2.105001369378891,0.5630936699355369
2022-01-22,Hopewell,51670,4.0855300642148595,-2.28908067717452,0.8982246935201699
2022-01-29,Northampton,51131,0.607675465739529,-2.774989032008296,-1.0836567831343835
2022-01-29,Poquoson,51735,5.122245339663509,-1.227378339430189,1.9474335001166605
2022-01-29,Chesapeake,51550,4.222577497783348,-1.5059602594931976,1.3583086191450753
2022-01-29,Newport News,51700,6.527172430691296,-2.44359578396314,2.041788323364078
2022-01-29,Portsmouth,51740,7.799468042145483,-1.2575491649372177,3.2709594386041325
2022-01-29,Hampton,51650,7.867104732423467,-1.864093759470331,3.001505486476568
2022-01-29,Virginia Beach,51810,4.472877685861732,-0.6324362951526189,1.9202206953545569
2022-01-29,Norfolk,51710,7.310947269710767,-0.5840819642403511,3.363432652735208
2022-01-29,Williamsburg,51830,5.075441293400508,-3.5019847159642827,0.7867282887181126
2022-01-29,Hopewell,51670,3.410605954465877,-3.13093422844909,0.13983586300839335
2022-02-05,Northampton,51131,9.70522845764745,1.686391092743628,5.695809775195539
2022-02-05,Poquoson,51735,11.356441737066293,2.3593940515255483,6.8579178942959205
2022-02-05,Chesapeake,51550,13.21261102236701,0.5133704448669171,6.8629907336169635
2022-02-05,Newport News,51700,11.800788848326247,2.1408741058407137,6.970831477083481
2022-02-05,Portsmouth,51740,13.837214839017602,2.357829961941853,8.097522400479727
2022-02-05,Hampton,51650,12.813732039984536,1.8562967340021364,7.335014386993336
2022-02-05,Virginia Beach,51810,13.188222676487577,1.2678943247860324,7.228058500636805
2022-02-05,Norfolk,51710,13.722973709419929,2.7672209332192077,8.245097321319568
2022-02-05,Williamsburg,51830,12.383694010071592,1.974783770651144,7.1792388903613675
2022-02-05,Hopewell,51670,12.191480326911885,1.478611364078643,6.835045845495264
2022-02-12,Northampton,51131,10.333407905148611,2.6297016721354,6.481554788642006
2022-02-12,Poquoson,51735,11.53117268756488,3.639259256527539,7.585215972046209
2022-02-12,Chesapeake,51550,13.998905328213434,5.941024672787166,9.9699650005003
2022-02-12,Newport News,51700,14.221172169589009,2.9348643375838512,8.57801825358643
2022-02-12,Portsmouth,51740,15.689874481442082,3.461648013637741,9.575761247539912
2022-02-12,Hampton,51650,14.384554257761833,2.1589216786527055,8.271737968207269
2022-02-12,Virginia Beach,51810,13.79935299350139,4.876829239062525,9.33809111628196
2022-02-12,Norfolk,51710,15.654981661761411,2.8817638537426484,9.26837275775203
2022-02-12,Williamsburg,51830,13.508273478222488,2.184601422387166,7.846437450304827
2022-02-12,Hopewell,51670,10.701558837598691,1.8508289550496508,6.2761938963241715
2022-02-19,Northampton,51131,9.936161603034629,3.997057978731307,6.966609790882968
2022-02-19,Poquoson,51735,11.458715461280471,2.76390858525917,7.111312023269821
2022-02-19,Chesapeake,51550,13.206189702383249,3.88923241457278,8.547711058478015
2022-02-19,Newport News,51700,12.765190764811011,3.960610797743788,8.3629007812774
2022-02-19,Portsmouth,51740,14.691733788562992,4.617831014354447,9.65478240145872
2022-02-19,Hampton,51650,13.5298942635091,2.795079199303774,8.162486731406437
2022-02-19,Virginia Beach,51810,13.647318258450204,4.543358394757662,9.095338326603931
2022-02-19,Norfolk,51710,14.46184424942926,5.488844263698664,9.975344256563965
2022-02-19,Williamsburg,51830,12.225131195335306,2.9222981270430535,7.57371466118918
2022-02-19,Hopewell,51670,13.61383498735166,4.124838022961698,8.86933650515668
2022-02-26,Northampton,51131,11.229800173786172,4.404497176424556,7.817148675105364
2022-02-26,Poquoson,51735,13.280962507854523,4.806471409620923,9.043716958737724
2022-02-26,Chesapeake,51550,15.185548415773416,3.839844218961527,9.512696317367473
2022-02-26,Newport News,51700,14.517615247701002,4.310847732212588,9.414231489956794
2022-02-26,Portsmouth,51740,16.758485737361898,5.04149393639025,10.899989836876074
2022-02-26,Hampton,51650,15.048857542027427,4.283549539645488,9.666203540836458
2022-02-26,Virginia Beach,51810,16.50458391136672,4.8319435364227745,10.668263723894746
2022-02-26,Norfolk,51710,16.602288738147376,4.953859299781212,10.778074018964292
2022-02-26,Williamsburg,51830,15.434194540153754,4.028887931796127,9.73154123597494
2022-02-26,Hopewell,51670,16.874619926055686,5.049702471297946,10.962161198676815
2022-03-05,Northampton,51131,16.136403022665363,6.785761482581783,11.461082252623571
2022-03-05,Poquoson,51735,18.08439658292916,12.501513283556196,15.292954933242678
2022-03-05,Chesapeake,51550,18.324332860670182,14.344562820211882,16.334447840441033
2022-03-05,Newport News,51700,18.665611223997836,12.847011567463204,15.75631139573052
2022-03-05,Portsmouth,51740,19.760381707678647,15.0667293546675,17.413555531173074
2022-03-05,Hampton,51650,19.97075443177136,12.820789693626605,16.39577206269898
2022-03-05,Virginia Beach,51810,18.10068340907356,13.314435703115622,15.70755955609459
2022-03-05,Norfolk,51710,19.55412188183811,13.930575467523704,16.74234867468091
2022-03-05,Williamsburg,51830,19.0694067497129,4.591689399377868,11.830548074545383
2022-03-05,Hopewell,51670,18.89192508270095,10.096969916112268,14.49444749940661
2022-03-12,Northampton,51131,14.647907572279296,5.214719994124551,9.931313783201924
2022-03-12,Poquoson,51735,18.819086148399503,7.099580046079758,12.95933309723963
2022-03-12,Chesapeake,51550,18.994596494012356,4.409375962958009,11.701986228485184
2022-03-12,Newport News,51700,18.847909475863943,4.246515546508615,11.54721251118628
2022-03-12,Portsmouth,51740,18.404948052424864,4.43671762065933,11.420832836542097
2022-03-12,Hampton,51650,21.521468081185088,4.844693707724519,13.183080894454804
2022-03-12,Virginia Beach,51810,17.973310877482742,4.006088810810246,10.989699844146491
2022-03-12,Norfolk,51710,17.77276344201733,5.31909621147263,11.54592982674498
2022-03-12,Williamsburg,51830,18.361253644314903,3.2849772506405475,10.823115447477726
2022-03-12,Hopewell,51670,15.051015800739478,6.137142829344263,10.59407931504187
2022-03-19,Northampton,51131,16.860635736792865,9.822180277083634,13.341408006938249
2022-03-19,Poquoson,51735,18.744356629197824,10.75291070306502,14.748633666131422
2022-03-19,Chesapeake,51550,21.61187486616508,10.853893789942076,16.23288432805358
2022-03-19,Newport News,51700,19.96829242741697,10.7847030525981,15.376497740007537
2022-03-19,Portsmouth,51740,23.497060905319618,12.51180256250233,18.004431733910973
2022-03-19,Hampton,51650,21.404918235536645,9.881483401294746,15.643200818415696
2022-03-19,Virginia Beach,51810,22.076443808046665,11.74238442411713,16.909414116081898
2022-03-19,Norfolk,51710,23.255157322716045,12.449144049657564,17.852150686186803
2022-03-19,Williamsburg,51830,20.959963335983772,10.40204302500224,15.681003180493006
2022-03-19,Hopewell,51670,22.49395407666864,11.8217672698969,17.15786067328277
2022-03-26,Northampton,51131,13.5188645078262,7.862260443487818,10.690562475657009
2022-03-26,Poquoson,51735,15.293479438665107,8.939292140845755,12.11638578975543
2022-03-26,Chesapeake,51550,17.456741886811564,7.42265009815527,12.439695992483417
2022-03-26,Newport News,51700,17.871953933729483,8.329305560381302,13.100629747055391
2022-03-26,Portsmouth,51740,19.60968354198028,9.25943447192191,14.434559006951096
2022-03-26,Hampton,51650,19.149437575426393,8.608209888350023,13.878823731888208
2022-03-26,Virginia Beach,51810,18.30010259888279,8.045827933758613,13.172965266320702
