date,county,year,T_avg
2024-01-01,Roanoke,2024,1.811585694244396
2024-01-01,Franklin,2024,1.794047778214224
2024-01-01,Roanoke,2024,1.3091280055164527
2024-01-01,Gloucester,2024,1.282566224690635
2024-01-01,Fairfax,2024,1.3432286714746466
2024-01-01,Brunswick,2024,1.1874818878423858
2024-01-01,Richmond,2024,0.22378163656813008
2024-01-01,Greensville,2024,1.103251045149637
2024-01-01,Henrico,2024,1.934353520116748
2024-01-01,Charles City,2024,1.546453836595677
2024-01-01,Chesterfield,2024,2.6513810791558483
2024-01-01,Fairfax,2024,-0.8202057883856146
2024-01-01,Franklin,2024,2.060028277262209
2024-01-01,Richmond,2024,2.3917239444251215
2024-01-08,Roanoke,2024,2.9509789482560227
2024-01-08,Franklin,2024,2.6115452019610585
2024-01-08,Roanoke,2024,1.708912537799517
2024-01-08,Gloucester,2024,5.446551546972896
2024-01-08,Fairfax,2024,3.079448527780987
2024-01-08,Brunswick,2024,5.296600681518802
2024-01-08,Richmond,2024,4.715501268609101
2024-01-08,Greensville,2024,5.458435597486361
2024-01-08,Henrico,2024,5.388810750070638
2024-01-08,Charles City,2024,5.614668715249209
2024-01-08,Chesterfield,2024,5.231153823498857
2024-01-08,Fairfax,2024,3.3210759255779236
2024-01-08,Franklin,2024,5.619765806264532
2024-01-08,Richmond,2024,5.487422571600142
2024-01-15,Roanoke,2024,-5.376833119589587
2024-01-15,Franklin,2024,-5.698881781754839
2024-01-15,Roanoke,2024,-7.483505294181833
2024-01-15,Gloucester,2024,-2.927141274769383
2024-01-15,Fairfax,2024,-7.107140540052204
2024-01-15,Brunswick,2024,-2.4406368708439112
2024-01-15,Richmond,2024,-3.884982234842999
2024-01-15,Greensville,2024,-1.75461691780763
2024-01-15,Henrico,2024,-2.6181167625520545
2024-01-15,Charles City,2024,-2.67448627735621
2024-01-15,Chesterfield,2024,-2.724826640225658
2024-01-15,Fairfax,2024,-8.079999999999956
2024-01-15,Franklin,2024,-1.431659657772594
2024-01-15,Richmond,2024,-1.9588512519834065
2024-01-22,Roanoke,2024,NA
2024-01-22,Franklin,2024,0.28467780564265943
2024-01-22,Roanoke,2024,-2.8554958183990147
2024-01-22,Gloucester,2024,6.570993549130324
2024-01-22,Fairfax,2024,4.8369472775047715
2024-01-22,Brunswick,2024,-0.7042002360468081
2024-01-22,Richmond,2024,-1.614637777042644
2024-01-22,Greensville,2024,-0.8505994572481373
2024-01-22,Henrico,2024,-1.0066864701609233
2024-01-22,Charles City,2024,0.7764940996470668
2024-01-22,Chesterfield,2024,-1.2021003228150149
2024-01-22,Fairfax,2024,9.562156179545015
2024-01-22,Franklin,2024,-1.723658076681299
2024-01-22,Richmond,2024,-0.5514512729041379
2024-01-29,Roanoke,2024,5.679481014081371
2024-01-29,Franklin,2024,4.869718583148173
