date,county,year,T_night
2021-01-01,Roanoke,2021,-0.9128628599599552
2021-01-01,Alleghany,2021,-0.08627564347866516
2021-01-01,Amherst,2021,0.04723559785286125
2021-01-01,Franklin,2021,0.40366554926076376
2021-01-01,Roanoke,2021,0.18024613301521455
2021-01-01,Fairfax,2021,0.780923161867528
2021-01-01,Richmond,2021,-0.6194594026571744
2021-01-01,Accomack,2021,0.01220539523061704
2021-01-01,Albemarle,2021,0.3612261744845909
2021-01-01,Amelia,2021,-0.8659887558359513
2021-01-01,Alexandria,2021,1.8173055633737076
2021-01-01,Fairfax,2021,0.9587427175343268
2021-01-01,Franklin,2021,0.5183497679814659
2021-01-01,Richmond,2021,-0.784029310697194
2021-01-08,Roanoke,2021,-1.7907507705856194
2021-01-08,Alleghany,2021,-2.771436712512301
2021-01-08,Amherst,2021,-1.0145414993373223
2021-01-08,Franklin,2021,-1.369142519775983
2021-01-08,Roanoke,2021,-1.6438608232529168
2021-01-08,Fairfax,2021,-1.4663782483489338
2021-01-08,Richmond,2021,-0.9893537522534184
2021-01-08,Accomack,2021,0.22787944866861823
2021-01-08,Albemarle,2021,-1.443094368038769
2021-01-08,Amelia,2021,-2.1116261640887117
2021-01-08,Alexandria,2021,-0.49986900240288606
2021-01-08,Fairfax,2021,-1.225258222138671
2021-01-08,Franklin,2021,-0.3728552784222446
2021-01-08,Richmond,2021,-0.25056880892156397
2021-01-15,Roanoke,2021,-1.1304290790740643
2021-01-15,Alleghany,2021,-2.312556867879141
2021-01-15,Amherst,2021,-1.7881659668015055
2021-01-15,Franklin,2021,-0.6118744759510502
2021-01-15,Roanoke,2021,-1.4785353687508345
2021-01-15,Fairfax,2021,-1.983493282007267
2021-01-15,Richmond,2021,-1.1747070487617424
2021-01-15,Accomack,2021,0.750598751392998
2021-01-15,Albemarle,2021,-1.6826240390359513
2021-01-15,Amelia,2021,-1.3155936422372558
2021-01-15,Alexandria,2021,-0.8261133503862506
2021-01-15,Fairfax,2021,-1.7420509929211008
2021-01-15,Franklin,2021,0.29767836426917255
2021-01-15,Richmond,2021,0.1706421527299012
2021-01-22,Roanoke,2021,-0.926231812773424
2021-01-22,Alleghany,2021,0.5750758880097498
2021-01-22,Amherst,2021,-0.1245644726910014
2021-01-22,Franklin,2021,0.7852378174983128
