date,county,year,T_day,T_night,T_avg
2023-06-25,Covington,2023,28.54819482528302,10.902064552031195,18.58113052781744
2023-06-25,Buena Vista,2023,28.85596395898572,16.422380952380962,22.00335526315792
2023-06-25,Lexington,2023,31.08936855465654,15.835956566701164,NA
2023-06-25,Galax,2023,27.757805628847866,16.56826077396661,18.56103960396042
2023-06-25,Norton,2023,22.566342389716656,17.48930961197877,18.747187776793645
2023-06-25,Radford,2023,28.295001206272655,16.273054780675192,17.559782608695684
2023-06-25,Danville,2023,30.001803311368334,22.104961053583647,24.750247976524495
2023-06-25,Martinsville,2023,29.965317530158064,20.978314816851864,21.3740554722639
2023-06-25,Salem,2023,30.837746324336223,13.831357443646304,23.165842656080866
2023-06-25,Roanoke,2023,32.63084197607206,16.84690166432258,21.018497033202905
2023-06-25,Bristol,2023,28.797070039283348,19.18883464272355,24.85554664570233
2023-06-25,Russell,2023,23.45170559453396,17.9097644640429,19.96856378310876
2023-06-25,Buchanan,2023,23.89871601819181,18.839820268984372,21.35674709900033
2023-06-25,Alleghany,2023,24.939666446136687,14.753943340888352,19.30641884383904
2023-06-25,Patrick,2023,26.845524265014113,18.0057580929607,21.54143546897389
2023-06-25,Grayson,2023,23.33350283505995,16.63591033802069,20.650306003571476
2023-06-25,Wythe,2023,25.13926785046112,16.856862722623838,22.01165367327645
2023-06-25,Carroll,2023,25.380079596489335,15.832429846875932,19.15189842585302
2023-06-25,Bath,2023,24.11564985267813,14.42500750600752,18.77408106990214
2023-06-25,Smyth,2023,21.914915682769745,17.66059409652927,19.939948158686917
2023-06-25,Bland,2023,22.72150589347991,16.756794976389198,18.204836989952867
2023-06-25,Lee,2023,25.095684485955292,17.26474950653125,19.463331100369565
2023-06-25,Highland,2023,23.41723175164616,15.297653112033244,18.02668965989423
2023-06-25,Rockbridge,2023,26.23408897337901,15.20340745423968,19.26976669324419
2023-06-25,Dickenson,2023,22.807704314611115,17.89866913776686,19.57184839865153
2023-06-25,Wise,2023,22.75931182876892,17.42871427702656,19.03003525557417
2023-06-25,Montgomery,2023,26.110950310962593,15.13638803224331,18.5958940182055
2023-06-25,Floyd,2023,25.03716786978289,15.119096867627633,18.98061698263968
2023-06-25,Giles,2023,23.397067597146552,15.01588917282165,16.643576459978583
2023-06-25,Pulaski,2023,25.12529365108423,14.992981461611608,18.88067621961699
2023-06-25,Tazewell,2023,22.36605059810868,17.470627371474798,19.004063927198757
2023-06-25,Pittsylvania,2023,28.21546170641081,19.225964048121565,21.67942062584497
2023-06-25,Amherst,2023,26.20524945862824,16.380378211274948,20.60120554702919
2023-06-25,Bedford,2023,27.430742302133048,18.03031452321272,21.27595044207124
2023-06-25,Campbell,2023,28.81708484675648,16.757776088405812,20.985962889066272
2023-06-25,Henry,2023,27.328122821727657,19.77402250908,20.72739815550153
2023-06-25,Craig,2023,24.94079174182988,15.433616236186795,19.28726194007716
2023-06-25,Franklin,2023,27.00059630187591,18.149375867623284,20.427260622266175
2023-06-25,Roanoke,2023,26.67486304310699,14.188690608322489,19.387810059058893
2023-06-25,Botetourt,2023,26.009962396828193,15.670108651814528,20.103024066703984
2023-06-25,Scott,2023,24.341766960744252,17.829794191973466,20.756547847577313
2023-06-25,Washington,2023,22.65284637176467,17.442295569287722,20.155103341315677
2023-06-25,Augusta,2023,26.132406964320523,16.243909824426293,18.32003986562153
2023-06-25,James City,2023,27.671326979562036,18.59582305870969,22.36866655466623
2023-06-25,Gloucester,2023,27.185368115216164,19.9084778099562,23.67031004578975
2023-06-25,Isle of Wight,2023,28.55392159821193,20.116822948844128,24.55899179460962
2023-06-25,York,2023,28.305305452620413,20.08944872978531,23.982142659437667
2023-06-25,Mathews,2023,26.583814760076283,19.832519457695213,23.285525483105456
2023-06-25,Stafford,2023,28.89850096048504,18.434898469644512,21.49407307171856
2023-06-25,Rappahannock,2023,25.76327378775472,17.270252061974883,17.416183939601943
2023-06-25,Fauquier,2023,28.647521489084603,17.252232576161813,23.252166532323105
2023-06-25,Prince William,2023,29.95867521018747,18.457312665876103,22.729953245324577
2023-06-25,Arlington,2023,32.54579330825893,23.84454385092047,25.09026443536028
2023-06-25,Fairfax,2023,31.519796288730017,20.45613419888673,23.357534934901093
2023-06-25,Loudoun,2023,30.51727396962213,18.04212783419651,23.749505761423123
2023-06-25,Culpeper,2023,29.052900958279302,17.691378879947102,23.690260619150504
2023-06-25,Warren,2023,27.522386314237263,16.831523810087354,20.76265277777781
2023-06-25,Spotsylvania,2023,28.601171845266062,18.17683432509071,22.28264190397264
2023-06-25,Clarke,2023,30.281106368355395,17.998337663235688,23.84292032654751
2023-06-25,Frederick,2023,26.598688233604253,15.815631576612232,NA
2023-06-25,Surry,2023,27.91561096859573,20.266979838340905,23.874240379134864
2023-06-25,King and Queen,2023,27.116578667766685,19.066951961622166,23.36887428285561
2023-06-25,Middlesex,2023,27.047671051971047,20.132033872045422,23.93961895564534
2023-06-25,Essex,2023,27.56031343903707,19.810702668706018,23.91902540848244
2023-06-25,Northumberland,2023,26.94771456407008,19.39422777411374,23.23414288276368
2023-06-25,Orange,2023,28.7651112591425,18.130420966760795,21.473065281228855
2023-06-25,Madison,2023,28.295125998411297,17.43251087259568,22.524715537900946
2023-06-25,Lunenburg,2023,27.975885557712864,19.05588509838579,22.11369328621911
2023-06-25,Charlotte,2023,28.04171119087038,18.244252856558195,21.7897250044715
2023-06-25,Cumberland,2023,27.30180020401634,18.543869533824846,20.54876979430828
2023-06-25,Halifax,2023,28.052658452575653,18.985069862224123,22.34942204780596
