date,county,year,T_night
2024-02-26,Alleghany,2024,7.1246863480075575
2024-02-26,Amherst,2024,8.697961492426264
2024-02-26,Franklin,2024,4.456671172240871
2024-02-26,Roanoke,2024,6.91659710501316
2024-02-26,Fairfax,2024,3.2888291921966144
2024-02-26,Richmond,2024,4.367541731014191
2024-02-26,Accomack,2024,4.379095274653394
2024-02-26,Albemarle,2024,4.5673468158982296
2024-02-26,Appomattox,2024,6.895794511112816
2024-02-26,Amelia,2024,3.46430647464653
2024-02-26,Fairfax,2024,3.483443901522296
2024-02-26,Franklin,2024,5.450171113689125
2024-02-26,Richmond,2024,5.070257562402625
2024-03-04,Roanoke,2024,8.119557106953396
2024-03-04,Alleghany,2024,5.075502360080945
2024-03-04,Amherst,2024,5.7026561867152985
2024-03-04,Franklin,2024,6.660349679766105
2024-03-04,Roanoke,2024,7.237144768530937
2024-03-04,Fairfax,2024,7.350580944029122
2024-03-04,Richmond,2024,7.42835316924055
2024-03-04,Accomack,2024,0.8209498998901767
2024-03-04,Albemarle,2024,6.46678334463296
2024-03-04,Appomattox,2024,7.015131889987902
2024-03-04,Amelia,2024,6.9143563309888005
2024-03-04,Fairfax,2024,8.730328885547863
2024-03-04,Franklin,2024,8.67625000000005
2024-03-04,Richmond,2024,9.24039254846599
2024-03-11,Roanoke,2024,5.540760092563997
2024-03-11,Alleghany,2024,5.330888306418075
2024-03-11,Amherst,2024,6.7799783276237395
2024-03-11,Franklin,2024,5.93453649943793
2024-03-11,Roanoke,2024,5.850004074948434
2024-03-11,Fairfax,2024,6.95066869977133
2024-03-11,Richmond,2024,7.419308689829173
2024-03-11,Accomack,2024,8.229465439784244
2024-03-11,Albemarle,2024,7.053265844077819
2024-03-11,Appomattox,2024,6.7712877266992475
2024-03-11,Amelia,2024,7.036213806813263
2024-03-11,Fairfax,2024,6.147704692100514
2024-03-11,Franklin,2024,9.01208575019338
2024-03-11,Richmond,2024,8.344567429294122
2024-03-18,Roanoke,2024,5.164818881924762
2024-03-18,Alleghany,2024,4.222130911577237
2024-03-18,Amherst,2024,5.623985445058505
2024-03-18,Franklin,2024,5.048308186247594
2024-03-18,Roanoke,2024,5.300167594822779
2024-03-18,Fairfax,2024,2.3531192349678474
2024-03-18,Richmond,2024,4.300258145611333
2024-03-18,Accomack,2024,5.487653339519133
