date,week,county_name,NDVI_mean
2023-07-08,14,Floyd,NA
2023-07-08,14,Giles,NA
2023-07-08,14,Pulaski,NA
2023-07-08,14,Tazewell,0.7669292092323303
2023-07-08,14,Pittsylvania,0.7868547382448762
2023-07-08,14,Amherst,0.8137064906687912
2023-07-08,14,Bedford,0.7602370234304353
2023-07-08,14,Campbell,0.8076825454048143
2023-07-08,14,Henry,0.7838277660636549
2023-07-08,14,Craig,NA
2023-07-08,14,Franklin,0.7665832664298616
2023-07-08,14,Roanoke,NA
2023-07-08,14,Botetourt,0.767398468574938
2023-07-08,14,Scott,0.7982995510101318
2023-07-08,14,Washington,0.7880810426915417
2023-07-08,14,Augusta,0.7446772102204523
2023-07-08,14,James City,NA
2023-07-08,14,Gloucester,NA
2023-07-08,14,Isle of Wight,NA
2023-07-08,14,York,NA
2023-07-08,14,Mathews,NA
2023-07-08,14,Stafford,0.7735656142234802
2023-07-08,14,Rappahannock,0.809891631354147
2023-07-08,14,Fauquier,0.7760454081643433
2023-07-08,14,Prince William,0.7721040491267382
2023-07-08,14,Arlington,NA
2023-07-08,14,Fairfax,NA
2023-07-08,14,Loudoun,0.7660138375793659
2023-07-08,14,Culpeper,0.7977344161858637
2023-07-08,14,Warren,0.7940032534815115
2023-07-08,14,Spotsylvania,0.8298055824425575
2023-07-08,14,Clarke,0.7957491778027127
2023-07-08,14,Frederick,NA
2023-07-08,14,Surry,NA
2023-07-08,14,King and Queen,NA
2023-07-08,14,Middlesex,NA
2023-07-08,14,Essex,NA
2023-07-08,14,Northumberland,NA
2023-07-08,14,Orange,0.8209588377793261
2023-07-08,14,Madison,0.8258090890604556
2023-07-08,14,Lunenburg,0.8126859797134657
2023-07-08,14,Charlotte,0.7897453857517883
2023-07-08,14,Cumberland,0.8379682551265322
2023-07-08,14,Halifax,0.8332498760997842
2023-07-08,14,Shenandoah,0.7213081037447259
2023-07-08,14,Southampton,NA
2023-07-08,14,Northampton,NA
2023-07-08,14,Brunswick,0.7646904084745111
2023-07-08,14,Lancaster,NA
2023-07-08,14,Richmond,NA
2023-07-08,14,Mecklenburg,0.7749846189672186
2023-07-08,14,Accomack,NA
2023-07-08,14,Greensville,NA
2023-07-08,14,Page,0.6856634108811487
2023-07-08,14,Westmoreland,NA
2023-07-08,14,Nottoway,0.84403678089685
2023-07-08,14,King George,NA
2023-07-08,14,Prince Edward,0.8218015815911075
2023-07-08,14,Louisa,0.8338825839366312
2023-07-08,14,Buckingham,0.8269334820903402
2023-07-08,14,Greene,0.8099456001737887
2023-07-08,14,Albemarle,0.8367520801029723
2023-07-08,14,Nelson,0.8463145515248982
2023-07-08,14,Fluvanna,0.8401039753852478
2023-07-08,14,Appomattox,0.7729810274584449
2023-07-08,14,Hanover,0.8428017959140595
2023-07-08,14,Powhatan,0.8316365073965571
2023-07-08,14,Goochland,0.8292455168832076
2023-07-08,14,King William,NA
2023-07-08,14,Henrico,NA
2023-07-08,14,New Kent,NA
2023-07-08,14,Charles City,NA
2023-07-08,14,Sussex,NA
2023-07-08,14,Chesterfield,0.8151222666104635
2023-07-08,14,Prince George,NA
2023-07-08,14,Caroline,0.8802465200424194
2023-07-08,14,Dinwiddie,0.8322082602532503
2023-07-08,14,Amelia,0.8317787120042622
2023-07-08,14,Rockingham,0.728731040380874
2023-07-08,14,Poquoson,NA
2023-07-08,14,Chesapeake,NA
2023-07-08,14,Newport News,NA
2023-07-08,14,Portsmouth,NA
2023-07-08,14,Suffolk,NA
2023-07-08,14,Hampton,NA
2023-07-08,14,Virginia Beach,NA
2023-07-08,14,Norfolk,NA
2023-07-08,14,Williamsburg,NA
2023-07-08,14,Alexandria,NA
2023-07-08,14,Falls Church,NA
2023-07-08,14,Fairfax,NA
2023-07-08,14,Manassas Park,NA
2023-07-08,14,Manassas,0.8744511604309082
2023-07-08,14,Fredericksburg,NA
2023-07-08,14,Winchester,NA
2023-07-08,14,Emporia,NA
2023-07-08,14,Franklin,NA
2023-07-08,14,Charlottesville,NA
2023-07-08,14,Lynchburg,NA
2023-07-08,14,Richmond,NA
2023-07-08,14,Hopewell,NA
2023-07-08,14,Petersburg,NA
2023-07-08,14,Colonial Heights,NA
2023-07-08,14,Harrisonburg,0.6130626336160498
2023-07-08,14,Waynesboro,0.63864357469515
2023-07-08,14,Staunton,0.5994505286216736
2023-07-15,15,Covington,NA
2023-07-15,15,Buena Vista,NA
2023-07-15,15,Lexington,NA
2023-07-15,15,Galax,0.6307729469740004
2023-07-15,15,Norton,NA
2023-07-15,15,Radford,NA
2023-07-15,15,Danville,NA
2023-07-15,15,Martinsville,NA
2023-07-15,15,Salem,NA
2023-07-15,15,Roanoke,NA
2023-07-15,15,Bristol,NA
2023-07-15,15,Russell,NA
2023-07-15,15,Buchanan,NA
2023-07-15,15,Alleghany,NA
2023-07-15,15,Patrick,NA
2023-07-15,15,Grayson,0.6863666602543422
2023-07-15,15,Wythe,0.7594899544311359
2023-07-15,15,Carroll,0.5027142763137817
2023-07-15,15,Bath,NA
2023-07-15,15,Smyth,0.7989477629890116
2023-07-15,15,Bland,0.8168767988681793
2023-07-15,15,Lee,0.7802557647228241
2023-07-15,15,Highland,0.8079436123371124
2023-07-15,15,Rockbridge,0.7884311777183155
2023-07-15,15,Dickenson,NA
2023-07-15,15,Wise,NA
2023-07-15,15,Montgomery,0.7648666472662062
2023-07-15,15,Floyd,0.7777160803476969
2023-07-15,15,Giles,NA
2023-07-15,15,Pulaski,0.7818000422804541
2023-07-15,15,Tazewell,NA
2023-07-15,15,Pittsylvania,0.8079564571380615
2023-07-15,15,Amherst,0.897609531879425
2023-07-15,15,Bedford,0.7623521848158403
2023-07-15,15,Campbell,NA
2023-07-15,15,Henry,0.8222174048423767
2023-07-15,15,Craig,0.827782541513443
2023-07-15,15,Franklin,0.8293800909178598
