date,county,GEOID,T_day,T_night,T_avg
2021-01-01,Arlington,51013,7.673298204351195,1.403198772088912,4.358218313035663
2021-01-01,Portsmouth,51740,9.159453602065694,2.1628937825791628,5.179443845324324
2021-01-01,Hampton,51650,10.02754248546704,1.3563795420838272,5.051953824867529
2021-01-01,Norfolk,51710,10.120362114982363,2.1362642984553784,5.909531402085778
2021-01-01,Alexandria,51510,7.838423378032744,1.8173055633737076,4.035208526413381
2021-01-01,Manassas Park,51685,8.106304957904609,1.2949318057828976,3.5548359240069387
2021-01-01,Manassas,51683,7.277143879742332,0.8343140150117232,3.6363632190942776
2021-01-01,Charlottesville,51540,7.749981497471349,0.9358233724034212,4.382185765387968
2021-01-01,Colonial Heights,51570,9.369978415047822,1.903794840168598,4.048950046253499
2021-01-01,Harrisonburg,51660,6.625850316951838,1.457082648509071,NA
2021-01-08,Arlington,51013,7.912875254421307,-0.3868487041476048,3.8495951648650193
2021-01-08,Portsmouth,51740,9.220752964499464,0.41823339756896105,5.219497696165658
2021-01-08,Hampton,51650,8.84688906346065,0.6728328065595086,5.215756512146363
2021-01-08,Norfolk,51710,9.015429140213094,1.1645054390633616,5.623043815003349
2021-01-08,Alexandria,51510,8.296335012789735,-0.49986900240288606,3.898233005193425
2021-01-08,Manassas Park,51685,7.93301777362024,-2.482112254443382,3.150782273152508
2021-01-08,Manassas,51683,8.092035552374162,-2.583264137437338,3.1697950966356734
2021-01-08,Charlottesville,51540,9.107048160612765,-0.8542446327027687,4.309388901783325
2021-01-08,Colonial Heights,51570,9.349296022201695,-0.2658191489361425,4.888311362935584
2021-01-08,Harrisonburg,51660,6.937830186535825,-4.532068820575712,1.1869223865676335
2021-01-15,Arlington,51013,6.658567099371327,-1.083880018695223,1.8376788207913397
2021-01-15,Portsmouth,51740,10.10686882778372,1.3900081500789598,5.869685739697625
2021-01-15,Hampton,51650,10.295072305437246,1.088788786587908,5.668719215794715
2021-01-15,Norfolk,51710,10.573220861580433,2.2053342782947705,6.448986415306726
2021-01-15,Alexandria,51510,5.941588248972978,-0.8261133503862506,1.5658664118822472
2021-01-15,Manassas Park,51685,7.020369504209569,-2.833476769566543,4.659648464163852
2021-01-15,Manassas,51683,10.13454270894888,-3.1130851825339745,3.843718523260807
2021-01-15,Charlottesville,51540,9.722005725117045,-0.5949037948241571,4.118390391087413
2021-01-15,Colonial Heights,51570,9.916783430979578,0.00578291705213982,4.9560170366944485
2021-01-15,Harrisonburg,51660,6.369019267034773,-4.025887919478311,1.5776817425083514
2021-01-22,Arlington,51013,3.4830844904790204,-2.270225473788926,0.98395905929918
2021-01-22,Portsmouth,51740,8.54103882912983,1.2159583685157616,3.961712250816874
2021-01-22,Hampton,51650,8.62631655291408,1.6140296879919784,5.197952173612575
2021-01-22,Norfolk,51710,9.297435863391634,1.9166332281580103,5.147641380604042
2021-01-22,Alexandria,51510,4.918460067695043,-1.7400534583882117,2.732218691057571
2021-01-22,Manassas Park,51685,4.269198628001279,-2.7958980355472143,0.8142609915809438
2021-01-22,Manassas,51683,4.812897677563059,-3.3131249502902738,0.8638027916965213
2021-01-22,Charlottesville,51540,5.764490155119754,-0.3670279679702642,2.957208618622132
2021-01-22,Colonial Heights,51570,9.795817144619212,-0.4427454003494451,4.288401942645726
2021-01-22,Harrisonburg,51660,5.241529616249773,-4.947712948447022,0.05787786986097586
2021-01-29,Arlington,51013,3.547460008744583,-5.096973600494493,-0.653347741986393
2021-01-29,Portsmouth,51740,5.501580804868647,-2.3152253187073546,2.0076648436296707
2021-01-29,Hampton,51650,5.342427116302749,-2.6918591645037444,1.889968082461114
2021-01-29,Norfolk,51710,5.800297676068863,-1.6013209336250618,2.542299343544887
2021-01-29,Alexandria,51510,3.4328302715552037,-4.82703083016228,-1.426087425149677
2021-01-29,Manassas Park,51685,4.997249766136606,-3.8988525742399984,-0.04042328042325115
2021-01-29,Manassas,51683,4.242098544500149,-4.586226039926798,0.32976234003659477
2021-01-29,Charlottesville,51540,6.988130439828276,-3.3198371436307808,-0.3784832308227643
2021-01-29,Colonial Heights,51570,4.253297101449304,-2.538367355329401,1.2547358412992362
2021-01-29,Harrisonburg,51660,1.1950429418581152,-7.974124463226746,-3.118630404653143
2021-02-05,Arlington,51013,7.757804966303346,-2.684632842780978,2.159951550387626
2021-02-05,Portsmouth,51740,9.347448388952142,1.1078535920462125,5.193311029352337
2021-02-05,Hampton,51650,7.635803979051228,1.4418093471867337,0.9133441066559232
2021-02-05,Norfolk,51710,9.370938613575737,1.654597767839182,5.258255822680334
2021-02-05,Alexandria,51510,8.31626320957035,-2.950810014727513,2.212181226261559
2021-02-05,Manassas Park,51685,8.388023074524515,-3.7185360149672264,1.5696047708138816
2021-02-05,Manassas,51683,8.265020281555746,-3.501844109755014,1.4115380063124985
2021-02-05,Charlottesville,51540,9.972063749951682,-2.1967178961748406,1.937891051912592
2021-02-05,Colonial Heights,51570,10.43722479185942,-0.331507863089698,NA
2021-02-05,Harrisonburg,51660,2.411987190583375,-3.89190646246821,-3.0499999999999545
2021-02-12,Portsmouth,51740,10.478219315149753,5.124688166411041,7.3188168885159905
2021-02-12,Hampton,51650,7.650051464121717,4.489814256640162,5.898588099097047
2021-02-12,Norfolk,51710,12.72687032529324,4.459240265689448,7.514725655319683
2021-02-12,Charlottesville,51540,0.41711388455542664,-3.569999999999993,NA
2021-02-12,Colonial Heights,51570,7.976056120875769,1.341208791208827,3.701978021978061
2021-02-12,Harrisonburg,51660,8.435447651148126,-6.051177273037282,-1.9864067642719017
