date,county,year,T_avg
2021-01-01,Roanoke,2021,2.2308234445157424
2021-01-01,Alleghany,2021,0.31779932891401463
2021-01-01,Bedford,2021,2.0465296637401744
2021-01-01,Franklin,2021,4.307825860404206
2021-01-01,Roanoke,2021,2.430063946776867
2021-01-01,Fairfax,2021,3.6630255772527462
2021-01-01,Richmond,2021,3.505115808884091
2021-01-01,Accomack,2021,3.8655048663269778
2021-01-01,Albemarle,2021,3.2972792880863917
2021-01-01,Appomattox,2021,2.669105638776765
2021-01-01,Amelia,2021,2.4150562439812417
2021-01-01,Fairfax,2021,3.7541683894005144
2021-01-01,Franklin,2021,3.7187954309449927
2021-01-01,Richmond,2021,4.117512774328739
2021-01-08,Roanoke,2021,3.210989816090042
2021-01-08,Alleghany,2021,1.2489330783593335
2021-01-08,Bedford,2021,3.584839571141052
2021-01-08,Franklin,2021,3.7429703221716544
2021-01-08,Roanoke,2021,2.73599435238737
2021-01-08,Fairfax,2021,3.073705013606861
2021-01-08,Richmond,2021,3.1584391803337435
2021-01-08,Accomack,2021,3.3350397474584144
2021-01-08,Albemarle,2021,3.7637138777557366
2021-01-08,Appomattox,2021,3.79316955652904
2021-01-08,Amelia,2021,3.190595403316129
2021-01-08,Fairfax,2021,3.434162281526054
2021-01-08,Franklin,2021,4.75195959010057
2021-01-08,Richmond,2021,4.694948279936671
2021-01-15,Roanoke,2021,3.646937981234513
2021-01-15,Alleghany,2021,0.29010884317537733
2021-01-15,Bedford,2021,3.026881123526919
2021-01-15,Franklin,2021,3.621448424264319
2021-01-15,Roanoke,2021,2.7095658968310294
2021-01-15,Fairfax,2021,1.245352681184312
2021-01-15,Richmond,2021,2.999409260386978
2021-01-15,Accomack,2021,4.352462810215695
2021-01-15,Albemarle,2021,3.0949413986872365
2021-01-15,Appomattox,2021,2.992554639742018
2021-01-15,Amelia,2021,3.5382396779183938
2021-01-15,Fairfax,2021,NA
2021-01-15,Franklin,2021,4.9963125966744295
2021-01-15,Richmond,2021,4.828835805165966
2021-01-22,Roanoke,2021,2.873461030383122
2021-01-22,Alleghany,2021,1.725533447929254
2021-01-22,Bedford,2021,2.405698755407371
2021-01-22,Franklin,2021,3.0915986927971746
2021-01-22,Roanoke,2021,2.4544014615963556
2021-01-22,Fairfax,2021,1.4506646255367386
2021-01-22,Richmond,2021,3.152221487014422
2021-01-22,Accomack,2021,3.159968930181913
2021-01-22,Albemarle,2021,2.75686522095571
2021-01-22,Appomattox,2021,2.49177986819339
2021-01-22,Amelia,2021,3.1637572982450473
2021-01-22,Fairfax,2021,1.294859675499616
2021-01-22,Franklin,2021,4.360762761020909
2021-01-22,Richmond,2021,2.7435512953169634
2021-01-29,Roanoke,2021,1.1504891044061576
