date,county,year,T_day
2022-02-26,Roanoke,2022,16.24412011669161
2022-02-26,Fairfax,2022,13.120297302530531
2022-02-26,Richmond,2022,10.4637024584635
2022-02-26,Accomack,2022,9.836900885497132
2022-02-26,Albemarle,2022,13.892730082351868
2022-02-26,Amelia,2022,17.536662841683995
2022-02-26,Alexandria,2022,14.052931865746874
2022-02-26,Fairfax,2022,14.275265927457276
2022-02-26,Franklin,2022,14.946956254833744
2022-02-26,Richmond,2022,16.942181350757522
2022-03-05,Roanoke,2022,19.39949492678268
2022-03-05,Alleghany,2022,14.49043669371484
2022-03-05,Amherst,2022,16.232824235452995
2022-03-05,Franklin,2022,17.01128676225051
2022-03-05,Roanoke,2022,16.961637760550136
2022-03-05,Fairfax,2022,14.889233187520682
2022-03-05,Richmond,2022,15.497435115634632
2022-03-05,Accomack,2022,14.997881644952468
2022-03-05,Albemarle,2022,15.213306438691088
2022-03-05,Amelia,2022,14.418295386298148
2022-03-05,Alexandria,2022,15.381243185282818
2022-03-05,Fairfax,2022,16.01649376683583
2022-03-05,Franklin,2022,21.372196925754096
2022-03-05,Richmond,2022,16.645436211389633
2022-03-12,Roanoke,2022,12.77547493056574
2022-03-12,Alleghany,2022,10.035926249626762
2022-03-12,Amherst,2022,12.418088800463003
2022-03-12,Franklin,2022,13.345827165571436
2022-03-12,Roanoke,2022,13.294529584604543
2022-03-12,Fairfax,2022,20.88147772821796
2022-03-12,Richmond,2022,17.225826558132237
2022-03-12,Accomack,2022,16.82591166654725
2022-03-12,Albemarle,2022,15.095845079145672
2022-03-12,Amelia,2022,14.10775434291426
2022-03-12,Alexandria,2022,19.610497325788735
2022-03-12,Fairfax,2022,23.571558917496738
2022-03-12,Franklin,2022,21.282307134570793
2022-03-12,Richmond,2022,15.440682021409796
2022-03-19,Roanoke,2022,17.47405254241225
2022-03-19,Alleghany,2022,19.949183950374575
2022-03-19,Amherst,2022,13.96674076471255
2022-03-19,Franklin,2022,21.18917695305698
2022-03-19,Roanoke,2022,16.125219807229552
2022-03-19,Fairfax,2022,21.25021897168664
2022-03-19,Richmond,2022,18.90367135980297
2022-03-19,Accomack,2022,17.672247720207885
2022-03-19,Albemarle,2022,17.467603718177617
2022-03-19,Amelia,2022,18.828459844944614
2022-03-19,Alexandria,2022,22.836555305790284
2022-03-19,Fairfax,2022,22.437981185324585
2022-03-19,Franklin,2022,22.88095804331017
2022-03-19,Richmond,2022,21.336298076186136
2022-03-26,Roanoke,2022,15.325494439603911
2022-03-26,Alleghany,2022,12.548181177188944
2022-03-26,Amherst,2022,10.352311333383373
2022-03-26,Franklin,2022,12.45839747711393
2022-03-26,Roanoke,2022,11.882359139743784
2022-03-26,Fairfax,2022,9.831891632519554
2022-03-26,Richmond,2022,11.923291485388209
2022-03-26,Accomack,2022,12.483603480964376
2022-03-26,Albemarle,2022,13.303928570061442
2022-03-26,Amelia,2022,13.90209253821074
2022-03-26,Alexandria,2022,13.987996279358214
2022-03-26,Fairfax,2022,9.609090396542031
2022-03-26,Franklin,2022,15.76160141144628
2022-03-26,Richmond,2022,14.695570980557502
2022-04-02,Roanoke,2022,20.052534313312176
2022-04-02,Alleghany,2022,14.512529581134707
2022-04-02,Amherst,2022,17.48612802047131
2022-04-02,Franklin,2022,17.122324369640495
2022-04-02,Roanoke,2022,16.6105164474367
2022-04-02,Fairfax,2022,20.076440113541445
2022-04-02,Richmond,2022,18.981880369927815
2022-04-02,Accomack,2022,15.910146647352796
2022-04-02,Albemarle,2022,18.84142574142102
2022-04-02,Amelia,2022,17.80873000628
2022-04-02,Alexandria,2022,22.686184016742924
2022-04-02,Fairfax,2022,21.834735325440096
2022-04-02,Franklin,2022,20.986074729311714
2022-04-02,Richmond,2022,20.744561074065597
2022-04-09,Roanoke,2022,23.10329711346585
2022-04-09,Alleghany,2022,21.381734276192443
2022-04-09,Amherst,2022,22.64406067198452
2022-04-09,Franklin,2022,19.71684908129361
2022-04-09,Roanoke,2022,19.629023399429567
2022-04-09,Fairfax,2022,23.286429552235255
2022-04-09,Richmond,2022,21.098837889292696
2022-04-09,Accomack,2022,19.35742544856809
2022-04-09,Albemarle,2022,24.009162947189036
2022-04-09,Amelia,2022,21.419618445959696
2022-04-09,Alexandria,2022,24.721104100457357
2022-04-09,Fairfax,2022,24.852540249326587
2022-04-09,Franklin,2022,24.402406080819834
2022-04-09,Richmond,2022,23.49044902404132
2022-04-16,Roanoke,2022,26.405540684111447
2022-04-16,Alleghany,2022,22.548290409689884
2022-04-16,Amherst,2022,23.62223380677323
2022-04-16,Franklin,2022,22.569198942407525
2022-04-16,Roanoke,2022,22.337780479512723
2022-04-16,Fairfax,2022,24.277193804013123
2022-04-16,Richmond,2022,21.815775686802205
2022-04-16,Accomack,2022,17.890953182783687
2022-04-16,Albemarle,2022,24.3324748156667
2022-04-16,Amelia,2022,22.585703973378237
2022-04-16,Alexandria,2022,26.294009379117934
2022-04-16,Fairfax,2022,26.060743281338116
2022-04-16,Franklin,2022,25.717865429234383
2022-04-16,Richmond,2022,22.67210399581006
2022-04-23,Roanoke,2022,29.374061778015143
2022-04-23,Alleghany,2022,28.47178532687155
2022-04-23,Amherst,2022,26.308315710201455
2022-04-23,Franklin,2022,25.40110307483336
2022-04-23,Roanoke,2022,27.102113922979814
2022-04-23,Fairfax,2022,25.19470592405556
2022-04-23,Richmond,2022,22.407982819182426
2022-04-23,Accomack,2022,20.43699192083208
2022-04-23,Albemarle,2022,24.045397733368972
2022-04-23,Amelia,2022,25.038652826585775
2022-04-23,Alexandria,2022,28.314013642353355
2022-04-23,Fairfax,2022,28.774629455616136
2022-04-23,Franklin,2022,26.72787979228817
2022-04-23,Richmond,2022,26.278802987915515
2022-04-30,Roanoke,2022,29.692950195339986
2022-04-30,Alleghany,2022,25.384227821677147
2022-04-30,Amherst,2022,25.786424737232515
2022-04-30,Franklin,2022,25.711481545571218
2022-04-30,Roanoke,2022,25.096594680699944
2022-04-30,Fairfax,2022,25.32948651676728
2022-04-30,Richmond,2022,19.78905280401275
2022-04-30,Accomack,2022,20.09678062406142
2022-04-30,Albemarle,2022,25.30857754795022
2022-04-30,Amelia,2022,24.89918704155056
2022-04-30,Alexandria,2022,26.075708859778345
2022-04-30,Fairfax,2022,28.19679947378314
2022-04-30,Franklin,2022,28.657680781129187
2022-04-30,Richmond,2022,28.725800694923507
2022-05-07,Roanoke,2022,27.8786311681985
2022-05-07,Alleghany,2022,21.89918174153177
2022-05-07,Amherst,2022,22.31061670959305
2022-05-07,Franklin,2022,22.47263048899662
2022-05-07,Roanoke,2022,22.03484674650566
2022-05-07,Fairfax,2022,24.467165491252107
2022-05-07,Richmond,2022,18.55923290692825
2022-05-07,Accomack,2022,16.440841030700255
2022-05-07,Albemarle,2022,22.949294510550896
2022-05-07,Amelia,2022,21.325393310451037
2022-05-07,Alexandria,2022,27.15205565460048
2022-05-07,Fairfax,2022,26.63604648249079
2022-05-07,Franklin,2022,20.28313046010487
2022-05-07,Richmond,2022,24.289628650264444
2022-05-14,Roanoke,2022,30.726843437608352
2022-05-14,Alleghany,2022,23.20682724883051
2022-05-14,Amherst,2022,24.872777186533625
2022-05-14,Franklin,2022,25.969968526133897
2022-05-14,Roanoke,2022,24.381044190764428
2022-05-14,Fairfax,2022,28.014857667083845
2022-05-14,Richmond,2022,26.44577549704196
2022-05-14,Accomack,2022,24.116112588630344
2022-05-14,Albemarle,2022,26.320043307592556
2022-05-14,Amelia,2022,28.35707064764348
2022-05-14,Alexandria,2022,31.536328191613087
2022-05-14,Fairfax,2022,30.39070976633467
2022-05-14,Franklin,2022,30.864494392884797
2022-05-14,Richmond,2022,31.95532989065178
2022-05-21,Roanoke,2022,34.53086596025748
2022-05-21,Alleghany,2022,24.095027516151777
2022-05-21,Amherst,2022,27.76859323347754
2022-05-21,Franklin,2022,27.648115270048027
2022-05-21,Roanoke,2022,26.77827850277909
2022-05-21,Fairfax,2022,32.19358834244077
2022-05-21,Richmond,2022,28.821952818158643
2022-05-21,Accomack,2022,27.65425410009223
2022-05-21,Albemarle,2022,30.188420921384896
2022-05-21,Amelia,2022,30.472593713753103
2022-05-21,Alexandria,2022,35.73371134020622
2022-05-21,Fairfax,2022,35.684786694230404
2022-05-21,Franklin,2022,34.458610788863155
2022-05-21,Richmond,2022,34.1066511458573
2022-05-28,Roanoke,2022,33.532850511069306
2022-05-28,Alleghany,2022,25.30779618155379
2022-05-28,Amherst,2022,27.55912765955675
2022-05-28,Franklin,2022,29.05459891899602
2022-05-28,Roanoke,2022,27.406133335248704
2022-05-28,Fairfax,2022,32.8014852066446
2022-05-28,Richmond,2022,30.088289181212833
2022-05-28,Accomack,2022,28.306934073288087
2022-05-28,Albemarle,2022,29.235167960814124
2022-05-28,Amelia,2022,30.057402242246653
2022-05-28,Alexandria,2022,36.65774074361165
2022-05-28,Fairfax,2022,36.40507955898016
2022-05-28,Franklin,2022,32.210327146171736
2022-05-28,Richmond,2022,34.03800936358297
