date,week,county_name,NDVI_mean
2021-07-01,13,Covington,NA
2021-07-01,13,Buena Vista,NA
2021-07-01,13,Lexington,NA
2021-07-01,13,Galax,NA
2021-07-01,13,Norton,NA
2021-07-01,13,Radford,NA
2021-07-01,13,Danville,0.5503188371658325
2021-07-01,13,Martinsville,NA
2021-07-01,13,Salem,NA
2021-07-01,13,Roanoke,NA
2021-07-01,13,Bristol,NA
2021-07-01,13,Russell,0.559630274772644
2021-07-01,13,Buchanan,NA
2021-07-01,13,Alleghany,0.5344305038452148
2021-07-01,13,Patrick,NA
2021-07-01,13,Grayson,0.7815629243850708
2021-07-01,13,Wythe,0.7116590725077911
2021-07-01,13,Carroll,NA
2021-07-01,13,Bath,0.7298384606838226
2021-07-01,13,Smyth,0.6972292357166026
2021-07-01,13,Bland,0.7182142933209738
2021-07-01,13,Lee,NA
2021-07-01,13,Highland,0.7681150436401367
2021-07-01,13,Rockbridge,0.7263415252405757
2021-07-01,13,Dickenson,NA
2021-07-01,13,Wise,NA
2021-07-01,13,Montgomery,NA
2021-07-01,13,Floyd,NA
2021-07-01,13,Giles,NA
2021-07-01,13,Pulaski,NA
2021-07-01,13,Tazewell,0.7086830735206604
2021-07-01,13,Pittsylvania,0.7234979546983078
2021-07-01,13,Amherst,0.8219092750238528
2021-07-01,13,Bedford,0.7054073320268488
2021-07-01,13,Campbell,0.7384569064548516
2021-07-01,13,Henry,NA
2021-07-01,13,Craig,NA
2021-07-01,13,Franklin,0.7248475114265279
2021-07-01,13,Roanoke,NA
2021-07-01,13,Botetourt,0.7676093297566364
2021-07-01,13,Scott,0.6768046021461487
2021-07-01,13,Washington,0.7343090387544483
2021-07-01,13,Augusta,0.6961962826015967
2021-07-01,13,James City,NA
2021-07-01,13,Gloucester,NA
2021-07-01,13,Isle of Wight,NA
2021-07-01,13,York,NA
2021-07-01,13,Mathews,NA
2021-07-01,13,Stafford,0.8094724714756012
2021-07-01,13,Rappahannock,0.7995813394679461
2021-07-01,13,Fauquier,0.752997897235477
2021-07-01,13,Prince William,0.6886428716736527
2021-07-01,13,Arlington,NA
2021-07-01,13,Fairfax,NA
2021-07-01,13,Loudoun,0.7518966443739132
2021-07-01,13,Culpeper,0.7420058537634888
2021-07-01,13,Warren,0.7172204608133714
2021-07-01,13,Spotsylvania,0.8049280897510704
2021-07-01,13,Clarke,0.7271551518259218
2021-07-01,13,Frederick,0.7098656475413151
2021-07-01,13,Surry,NA
2021-07-01,13,King and Queen,NA
2021-07-01,13,Middlesex,NA
2021-07-01,13,Essex,NA
2021-07-01,13,Northumberland,NA
2021-07-01,13,Orange,0.759309495616935
2021-07-01,13,Madison,0.7652811259672564
2021-07-01,13,Lunenburg,0.7613815005010304
2021-07-01,13,Charlotte,0.7632336719771216
2021-07-01,13,Cumberland,0.8049540608997098
2021-07-01,13,Halifax,0.7508131365800187
2021-07-01,13,Shenandoah,0.7313399859239195
2021-07-01,13,Southampton,NA
2021-07-01,13,Northampton,NA
2021-07-01,13,Brunswick,0.7668466851737068
2021-07-01,13,Lancaster,NA
2021-07-01,13,Richmond,NA
2021-07-01,13,Mecklenburg,0.661093069542313
2021-07-01,13,Accomack,NA
2021-07-01,13,Greensville,NA
2021-07-01,13,Page,0.6882412779577705
2021-07-01,13,Westmoreland,NA
2021-07-01,13,Nottoway,0.7903692242869964
2021-07-01,13,King George,NA
2021-07-01,13,Prince Edward,0.7646988196909046
2021-07-01,13,Louisa,0.8094547406841497
2021-07-01,13,Buckingham,0.7682512233596209
2021-07-01,13,Greene,0.7601631216667636
2021-07-01,13,Albemarle,0.7206568151163909
2021-07-01,13,Nelson,0.7827751695089273
2021-07-01,13,Fluvanna,0.8128508969354605
2021-07-01,13,Appomattox,0.7745632374539441
2021-07-01,13,Hanover,0.8130420675720543
2021-07-01,13,Powhatan,0.7743866981067411
2021-07-01,13,Goochland,0.7824561119162707
2021-07-01,13,King William,NA
2021-07-01,13,Henrico,NA
2021-07-01,13,New Kent,NA
2021-07-01,13,Charles City,NA
2021-07-01,13,Sussex,NA
2021-07-01,13,Chesterfield,0.7874352186918259
2021-07-01,13,Prince George,NA
2021-07-01,13,Caroline,0.810147157935209
2021-07-01,13,Dinwiddie,0.7272132113247493
2021-07-01,13,Amelia,0.7943153866253334
2021-07-01,13,Rockingham,0.6864127804115904
2021-07-01,13,Poquoson,NA
2021-07-01,13,Chesapeake,NA
2021-07-01,13,Newport News,NA
2021-07-01,13,Portsmouth,NA
2021-07-01,13,Suffolk,NA
2021-07-01,13,Hampton,NA
2021-07-01,13,Virginia Beach,NA
2021-07-01,13,Norfolk,NA
2021-07-01,13,Williamsburg,NA
2021-07-01,13,Alexandria,NA
2021-07-01,13,Falls Church,NA
2021-07-01,13,Fairfax,NA
2021-07-01,13,Manassas Park,NA
2021-07-01,13,Manassas,NA
2021-07-01,13,Fredericksburg,NA
2021-07-01,13,Winchester,NA
2021-07-01,13,Emporia,NA
2021-07-01,13,Franklin,NA
2021-07-01,13,Charlottesville,NA
2021-07-01,13,Lynchburg,NA
2021-07-01,13,Richmond,NA
2021-07-01,13,Hopewell,NA
2021-07-01,13,Petersburg,NA
2021-07-01,13,Colonial Heights,NA
2021-07-01,13,Harrisonburg,0.5276242318368364
2021-07-01,13,Waynesboro,0.6816264400700695
2021-07-01,13,Staunton,0.724094808101654
2021-07-08,14,Covington,NA
2021-07-08,14,Buena Vista,NA
2021-07-08,14,Lexington,NA
2021-07-08,14,Galax,NA
2021-07-08,14,Norton,NA
2021-07-08,14,Radford,NA
2021-07-08,14,Danville,NA
2021-07-08,14,Martinsville,NA
2021-07-08,14,Salem,NA
2021-07-08,14,Roanoke,NA
2021-07-08,14,Bristol,NA
2021-07-08,14,Russell,NA
2021-07-08,14,Buchanan,NA
2021-07-08,14,Alleghany,0.6911193132400513
2021-07-08,14,Patrick,0.822614751438394
2021-07-08,14,Grayson,0.8459319174289703
2021-07-08,14,Wythe,0.7885996719149505
2021-07-08,14,Carroll,0.8587057590484619
2021-07-08,14,Bath,0.7324596047401428
2021-07-08,14,Smyth,0.7555512170599759
2021-07-08,14,Bland,NA
2021-07-08,14,Lee,NA
2021-07-08,14,Highland,0.76591956615448
2021-07-08,14,Rockbridge,0.7473441901168986
2021-07-08,14,Dickenson,NA
2021-07-08,14,Wise,NA
2021-07-08,14,Montgomery,0.7288123968429615
2021-07-08,14,Floyd,0.7571910928947526
2021-07-08,14,Giles,NA
2021-07-08,14,Pulaski,0.7612484265299676
2021-07-08,14,Tazewell,NA
2021-07-08,14,Pittsylvania,0.6878210716088684
2021-07-08,14,Amherst,0.8301033973693848
2021-07-08,14,Bedford,0.6332339406013489
2021-07-08,14,Campbell,NA
2021-07-08,14,Henry,0.8026811625994835
2021-07-08,14,Craig,0.8202233910560608
2021-07-08,14,Franklin,0.7625919570635541
2021-07-08,14,Roanoke,NA
2021-07-08,14,Botetourt,0.7776960504174169
2021-07-08,14,Scott,NA
2021-07-08,14,Washington,NA
2021-07-08,14,Augusta,0.705867653877474
2021-07-08,14,James City,0.7791679330087501
2021-07-08,14,Gloucester,0.7986091589912954
2021-07-08,14,Isle of Wight,0.7576685915127246
2021-07-08,14,York,0.6609963973363241
2021-07-08,14,Mathews,0.7685452107238838
2021-07-08,14,Stafford,NA
2021-07-08,14,Rappahannock,NA
2021-07-08,14,Fauquier,NA
2021-07-08,14,Prince William,NA
2021-07-08,14,Arlington,NA
2021-07-08,14,Fairfax,NA
2021-07-08,14,Loudoun,NA
2021-07-08,14,Culpeper,NA
2021-07-08,14,Warren,NA
2021-07-08,14,Spotsylvania,NA
2021-07-08,14,Clarke,NA
2021-07-08,14,Frederick,NA
2021-07-08,14,Surry,0.7919174431806253
2021-07-08,14,King and Queen,0.8235039247311864
2021-07-08,14,Middlesex,0.8056831880813986
2021-07-08,14,Essex,0.6532888680696487
2021-07-08,14,Northumberland,0.8062364901828468
2021-07-08,14,Orange,NA
2021-07-08,14,Madison,NA
2021-07-08,14,Lunenburg,NA
2021-07-08,14,Charlotte,NA
2021-07-08,14,Cumberland,NA
2021-07-08,14,Halifax,NA
2021-07-08,14,Shenandoah,NA
2021-07-08,14,Southampton,0.8136074812003506
2021-07-08,14,Northampton,0.6769025217387805
2021-07-08,14,Brunswick,NA
2021-07-08,14,Lancaster,0.8115115536963834
2021-07-08,14,Richmond,0.8114991681170901
2021-07-08,14,Mecklenburg,NA
2021-07-08,14,Accomack,0.7645184029643587
2021-07-08,14,Greensville,NA
2021-07-08,14,Page,NA
2021-07-08,14,Westmoreland,0.786145040185558
2021-07-08,14,Nottoway,NA
2021-07-08,14,King George,NA
2021-07-08,14,Prince Edward,NA
2021-07-08,14,Louisa,NA
2021-07-08,14,Buckingham,NA
2021-07-08,14,Greene,NA
2021-07-08,14,Albemarle,NA
2021-07-08,14,Nelson,NA
2021-07-08,14,Fluvanna,NA
2021-07-08,14,Appomattox,NA
