GEOID,county,date,mean,year
51067,Franklin,2022-04-08,0.6213397509388539,2022
51095,James City,2022-04-08,0.4711348260710559,2022
51073,Gloucester,2022-04-08,0.5486709135781838,2022
51093,Isle of Wight,2022-04-08,0.4672011336423146,2022
51097,King and Queen,2022-04-08,0.4968975776055517,2022
51119,Middlesex,2022-04-08,0.6122474446992532,2022
51057,Essex,2022-04-08,0.5451230728144296,2022
51159,Richmond,2022-04-08,0.557375773330344,2022
51101,King William,2022-04-08,0.5274493074976859,2022
51127,New Kent,2022-04-08,0.5157503198358283,2022
51760,Richmond,2022-04-08,0.5757611989974976,2022
51067,Franklin,2022-04-15,0.6006333827972412,2022
51067,Franklin,2022-04-22,0.7029764688360752,2022
51095,James City,2022-04-22,0.5292497888581809,2022
51073,Gloucester,2022-04-22,0.5149509825115072,2022
51093,Isle of Wight,2022-04-22,0.5184081254448251,2022
51097,King and Queen,2022-04-22,0.539714818629549,2022
51119,Middlesex,2022-04-22,0.6150666122705164,2022
51057,Essex,2022-04-22,0.5783051053682963,2022
51159,Richmond,2022-04-22,0.5363611606945091,2022
51101,King William,2022-04-22,0.48179573509968865,2022
51127,New Kent,2022-04-22,0.53704996662087,2022
51620,Franklin,2022-04-22,0.45357840139175126,2022
51095,James City,2022-04-29,0.606005847454071,2022
51073,Gloucester,2022-04-29,0.5933654507857196,2022
51093,Isle of Wight,2022-04-29,0.5334823345522702,2022
51097,King and Queen,2022-04-29,0.6088815033435822,2022
51119,Middlesex,2022-04-29,0.6473932862371959,2022
51057,Essex,2022-04-29,0.5351893417537212,2022
51159,Richmond,2022-04-29,0.5988857763737456,2022
51101,King William,2022-04-29,0.578482614959497,2022
51127,New Kent,2022-04-29,0.6828742585754719,2022
51760,Richmond,2022-04-29,0.5283029079437256,2022
51095,James City,2022-05-06,0.5785821352472255,2022
51073,Gloucester,2022-05-06,0.6329833964797676,2022
51093,Isle of Wight,2022-05-06,0.5797491978542819,2022
51097,King and Queen,2022-05-06,0.6163970167927153,2022
51119,Middlesex,2022-05-06,0.6762087104835994,2022
51057,Essex,2022-05-06,0.5843084454536438,2022
51159,Richmond,2022-05-06,0.638247091807865,2022
51101,King William,2022-05-06,0.4749439305951151,2022
51127,New Kent,2022-05-06,0.586219442796837,2022
51620,Franklin,2022-05-06,0.3782764046548683,2022
51067,Franklin,2022-05-13,0.6459006667137146,2022
51095,James City,2022-05-13,0.6355601499478022,2022
51073,Gloucester,2022-05-13,0.7090580066045126,2022
51093,Isle of Wight,2022-05-13,0.5821334454492101,2022
51097,King and Queen,2022-05-13,0.6902180138308156,2022
51119,Middlesex,2022-05-13,0.6704927682876587,2022
51057,Essex,2022-05-13,0.698436802076903,2022
51101,King William,2022-05-13,0.6897310942021999,2022
51127,New Kent,2022-05-13,0.7428137039128397,2022
51620,Franklin,2022-05-13,0.5276101050532866,2022
51760,Richmond,2022-05-13,0.6574327349662781,2022
51067,Franklin,2022-05-27,0.6951733660447357,2022
51095,James City,2022-05-27,0.6084813755062121,2022
51073,Gloucester,2022-05-27,0.6178648731524166,2022
51093,Isle of Wight,2022-05-27,0.6110012071580171,2022
51097,King and Queen,2022-05-27,0.648556307420397,2022
51119,Middlesex,2022-05-27,0.6366118144266101,2022
51057,Essex,2022-05-27,0.6566430242462494,2022
51159,Richmond,2022-05-27,0.6138095638591481,2022
51101,King William,2022-05-27,0.6413772622036504,2022
51127,New Kent,2022-05-27,0.6329527581933325,2022
51620,Franklin,2022-05-27,0.5618091654554705,2022
51760,Richmond,2022-05-27,0.668165922164917,2022
51067,Franklin,2022-06-03,0.6831807707074504,2022
51067,Franklin,2022-06-10,0.6866273089988356,2022
51095,James City,2022-06-10,0.5686671204951057,2022
51073,Gloucester,2022-06-10,0.6336649784783949,2022
51093,Isle of Wight,2022-06-10,0.6006855308311428,2022
51097,King and Queen,2022-06-10,0.6233271988326772,2022
51119,Middlesex,2022-06-10,0.6124312057280527,2022
51057,Essex,2022-06-10,0.6156512264694486,2022
51159,Richmond,2022-06-10,0.6191053621359992,2022
51101,King William,2022-06-10,0.6072665696533827,2022
51127,New Kent,2022-06-10,0.5557160192546812,2022
51620,Franklin,2022-06-10,0.4993048636155707,2022
51095,James City,2022-06-17,0.6316093521596247,2022
51073,Gloucester,2022-06-17,0.6625781628216653,2022
51093,Isle of Wight,2022-06-17,0.6443604938113261,2022
51097,King and Queen,2022-06-17,0.6715646925329462,2022
51119,Middlesex,2022-06-17,0.6052367160880268,2022
51057,Essex,2022-06-17,0.668149664359413,2022
51159,Richmond,2022-06-17,0.6478173324579523,2022
51101,King William,2022-06-17,0.6626817451060424,2022
51127,New Kent,2022-06-17,0.6481968542939258,2022
51620,Franklin,2022-06-17,0.6290828705391037,2022
51760,Richmond,2022-06-17,0.7694339156150818,2022
51067,Franklin,2022-06-24,0.6602350542277926,2022
51095,James City,2022-06-24,0.6217700178216565,2022
51073,Gloucester,2022-06-24,0.672775645320389,2022
51093,Isle of Wight,2022-06-24,0.6410669721792996,2022
51097,King and Queen,2022-06-24,0.67361512025102,2022
51119,Middlesex,2022-06-24,0.6038208943033659,2022
51057,Essex,2022-06-24,0.6789859043700355,2022
51159,Richmond,2022-06-24,0.6709566598855505,2022
51101,King William,2022-06-24,0.6319449142533905,2022
51127,New Kent,2022-06-24,0.6077438051185192,2022
51620,Franklin,2022-06-24,0.5986026400160567,2022
51067,Franklin,2022-07-01,0.6707966658627441,2022
51095,James City,2022-07-01,0.68389721066609,2022
51073,Gloucester,2022-07-01,0.6715919891493445,2022
51093,Isle of Wight,2022-07-01,0.6773574122836176,2022
51097,King and Queen,2022-07-01,0.6931242767231315,2022
51119,Middlesex,2022-07-01,0.6585248708724976,2022
51057,Essex,2022-07-01,0.670600768312295,2022
51159,Richmond,2022-07-01,0.6009277601968612,2022
51101,King William,2022-07-01,0.6348438063281102,2022
51127,New Kent,2022-07-01,0.6434153684304109,2022
51095,James City,2022-07-08,0.6975863396570157,2022
51073,Gloucester,2022-07-08,0.7358433364835445,2022
51093,Isle of Wight,2022-07-08,0.7409034832741767,2022
51097,King and Queen,2022-07-08,0.7361310647602346,2022
51119,Middlesex,2022-07-08,0.6592857566678129,2022
51057,Essex,2022-07-08,0.6167796552181244,2022
51159,Richmond,2022-07-08,0.7412876144848934,2022
51101,King William,2022-07-08,0.6907556653022766,2022
51127,New Kent,2022-07-08,0.6945397506542249,2022
51620,Franklin,2022-07-08,0.7658927245674846,2022
51067,Franklin,2022-07-15,0.7587057591807165,2022
51095,James City,2022-07-15,0.4353088016311328,2022
