date,county,T_day,T_night,T_avg
2025-01-29,Covington,10.083950643324222,1.35065387049149,5.36120333263028
2025-01-29,Buena Vista,11.689108491434911,1.9853702339289288,6.441834170854296
2025-01-29,Lexington,11.171884816753952,1.7178486435031266,6.2959067110899865
2025-01-29,Galax,9.665051793218048,0.8912782175315431,5.177146486856279
2025-01-29,Norton,5.044844630494314,3.4304256963452233,2.920689099983929
2025-01-29,Radford,9.300074788902322,0.974596501809438,5.61751387213513
2025-01-29,Danville,13.521380105949053,4.346230356055185,9.613810057773634
2025-01-29,Martinsville,14.299768635647007,3.9266872731272975,10.118971876947926
2025-01-29,Salem,12.212475312705754,3.4864658766732792,7.411970117845142
2025-01-29,Roanoke,13.526675004918676,3.276141872078127,8.126804843261642
2025-01-29,Bristol,11.298694350916604,1.5374261129816984,6.244700399052281
2025-01-29,Russell,6.218420363979409,2.385825266738204,3.323146808742813
2025-01-29,Buchanan,5.854946301499379,2.011578927685092,3.6996281256747183
2025-01-29,Alleghany,7.110012009586438,1.9404613682780705,4.123968945186143
2025-01-29,Patrick,11.99022188042635,3.2755912395465576,8.092027344503679
2025-01-29,Grayson,8.42412643140118,1.4965177564955958,4.777582486929137
2025-01-29,Wythe,8.323695570024007,1.065330023332114,4.776591496086805
2025-01-29,Carroll,9.5435362467319,1.461506703623054,5.544656018221132
2025-01-29,Bath,6.32388977308192,1.4983113946222233,3.737981080944848
2025-01-29,Smyth,6.514649724669203,1.9121062154500816,3.5953254157532832
2025-01-29,Bland,6.9401599734759305,1.2914987863656584,3.9343894233951393
2025-01-29,Lee,9.822806489224224,2.7792618204898893,5.908358329198958
2025-01-29,Highland,3.8917071158001098,0.2797979044974908,2.449118810941777
2025-01-29,Rockbridge,9.610248387610506,2.501146272925156,5.659840551864844
2025-01-29,Dickenson,6.330139916060029,2.9539358178128894,3.815285010628017
2025-01-29,Wise,6.230506847149453,3.424875486087771,3.637648827190163
2025-01-29,Montgomery,9.240379941623656,1.765359199438959,5.422523773425357
2025-01-29,Floyd,8.747054374943993,1.6109567162998566,5.259830593224393
2025-01-29,Giles,7.135631624335232,1.415727372789516,3.793173740727731
2025-01-29,Pulaski,9.35310241596129,1.5089377324917557,5.518551558243779
2025-01-29,Tazewell,5.6654186436650065,1.5286147882654888,2.904479856832293
2025-01-29,Pittsylvania,14.401774765927872,3.8241564332892266,9.37608816695382
2025-01-29,Amherst,11.942538821234814,3.770206017187232,7.160382472131367
2025-01-29,Bedford,12.981722655846692,3.2976311972165773,7.46194395787324
2025-01-29,Campbell,14.399378660773015,4.345041362675009,9.18257483661699
2025-01-29,Henry,13.622323135052122,3.6089446796304663,9.519618182181471
2025-01-29,Craig,7.664550108174283,1.730211295066049,4.0959387971451875
2025-01-29,Franklin,12.27265034868547,3.7133301416683433,7.981723826382949
2025-01-29,Roanoke,10.302958543425436,3.4526973828073535,6.321708415098723
2025-01-29,Botetourt,10.808812421667715,2.887517235854116,6.194222111166178
2025-01-29,Scott,8.521127348103002,2.990445449930793,5.28133917130237
2025-01-29,Washington,8.341516165900591,2.0927427423316787,4.645730328166353
2025-01-29,Augusta,8.252178185713845,1.0706771191121107,4.826921834850117
2025-01-29,James City,11.215353726486596,2.979561069877329,4.403931510736942
2025-01-29,Gloucester,11.229515592831833,2.5343800011984134,5.65597866611673
2025-01-29,Isle of Wight,12.965372932377862,3.4146737015220565,7.363258638203202
2025-01-29,York,12.727045329403468,3.0965340720037537,6.4605173688670074
2025-01-29,Mathews,10.20475434438086,2.5167291433589014,5.544380578685707
2025-01-29,Stafford,10.831501346095903,1.4555297763195831,5.945976491160901
2025-01-29,Rappahannock,9.462460216146209,-0.08099796810810288,4.73642221792292
2025-01-29,Fauquier,10.048167291946074,-0.6754843336295056,4.3511730800285235
2025-01-29,Prince William,10.126688377860384,0.00718568796263442,4.661615407951957
2025-01-29,Arlington,10.557360200220156,1.1015179338731116,5.449053552851812
2025-01-29,Fairfax,9.981692567307078,0.6048694785667539,5.099227442862271
2025-01-29,Loudoun,7.940498298702898,-1.5606488011071529,3.422042491828086
2025-01-29,Culpeper,9.918606691493538,0.19825341420617903,5.1891819589723855
2025-01-29,Warren,8.12867916340296,-0.05278713232312225,4.8025989773874835
2025-01-29,Spotsylvania,10.607051513665148,3.2575904685138255,7.5827881729406
2025-01-29,Clarke,7.327558234843099,-1.7471035416419334,3.469619337673702
2025-01-29,Frederick,7.369325821040101,-1.5082462894536135,3.937004571016743
2025-01-29,Surry,13.134230663703123,3.736459296026198,7.85261694899586
2025-01-29,King and Queen,10.670969264589704,2.5186058275067325,6.76147521764031
2025-01-29,Middlesex,11.26500869382901,1.851478275763324,6.243102154085842
2025-01-29,Essex,10.612843767757338,1.6653067852015089,5.992332818220314
2025-01-29,Northumberland,10.678750477659138,1.761867285481782,6.022541790454781
2025-01-29,Orange,11.025370927812036,1.9730323194551804,7.106217831799488
2025-01-29,Madison,9.223839291849522,1.5822511251975842,5.54402432253363
2025-01-29,Lunenburg,13.406563273851251,4.775661848125647,9.424549190747728
2025-01-29,Charlotte,13.989368652082572,3.386656143499299,9.20818820377371
2025-01-29,Cumberland,13.765108061978308,5.0141062965037495,11.45926029734913
2025-01-29,Halifax,13.670754762391493,2.78973213312312,7.9989449260921806
2025-01-29,Shenandoah,8.11859907110654,-0.6840314030724066,4.107865033330864
2025-01-29,Southampton,13.85014315422127,5.2366618785412555,9.748903998755392
2025-01-29,Northampton,8.506046099251368,2.2488285707685916,4.452543678807857
