date,county,GEOID,T_day,T_night,T_avg
2024-01-01,Danville,51590,7.188557229082482,-0.607174723591164,0.7458000815716418
2024-01-01,Salem,51775,4.192916968400294,-0.5867606155365092,1.895358688415475
2024-01-01,Newport News,51700,6.840755967157923,1.495604433332775,2.9123408473815076
2024-01-01,Portsmouth,51740,7.298605284613129,2.493164457823984,4.688258967801198
2024-01-01,Hampton,51650,6.8818404256943815,1.2618715875319928,2.883146618563909
2024-01-01,Virginia Beach,51810,7.747244557307654,3.501041486725024,6.389548747580263
2024-01-01,Norfolk,51710,7.882419758459397,2.985438258701023,5.22468263282724
2024-01-01,Falls Church,51610,5.717324865281012,-0.9631062355657845,1.3907996535797096
2024-01-01,Charlottesville,51540,4.408897528142072,-0.6486731654481143,-1.1631573692748984
2024-01-08,Danville,51590,7.464060671502697,2.4363355206084063,3.954434861657188
2024-01-08,Salem,51775,7.12773507790216,-0.1279145545314655,2.918506418696539
2024-01-08,Newport News,51700,9.749074874171985,4.440625985355464,6.6940184493405805
2024-01-08,Portsmouth,51740,9.960203458276764,4.5778409633246735,6.727954587172834
2024-01-08,Hampton,51650,10.16267933214239,4.652954743255034,6.912865764280184
2024-01-08,Virginia Beach,51810,10.099145730057288,5.089571318732589,7.040098381360756
2024-01-08,Norfolk,51710,10.454509002380464,5.343254995311291,7.578673269555463
2024-01-08,Falls Church,51610,6.883342956120124,0.7892453810623831,3.665727482679009
2024-01-08,Winchester,51840,6.0915443638984526,0.5866865912077954,3.7251796407185904
2024-01-08,Charlottesville,51540,7.538152102433203,1.8666842288499768,3.431387760628245
2024-01-15,Danville,51590,0.24029237499310596,-6.68537566679585,-3.5300171659560067
2024-01-15,Salem,51775,-0.7189684679404281,-12.1611749873928,-6.16841911764703
2024-01-15,Newport News,51700,1.7138589207881847,-2.2400714378299145,-1.112388506016387
2024-01-15,Portsmouth,51740,1.3685340395098275,-2.4423596699278285,-1.31499761512442
2024-01-15,Hampton,51650,1.2768382404364251,-2.6556569223954773,-1.4761765519669694
2024-01-15,Virginia Beach,51810,1.2415635778654708,-2.357880851485359,-1.2264472105938944
2024-01-15,Norfolk,51710,2.322468429260541,-1.833058644325945,-0.30815138230924205
2024-01-15,Falls Church,51610,-4.734572748267867,-10.24874999999999,-7.324583333333313
